courseid,coursetitle,durationinseconds,releasedate,description,assessmentstatus,iscourseretired,course-author
intro-dates-times-sqlserver,Introduction to Dates and Times in SQL Server,10684,2014-01-14T00:00:00Z,"The Introduction to Dates and Times in SQL Server course details how to use the date, time, smalldatetime, datetime and datetime2 data types as well as the many date- and time-related functions available to the SQL programmer such as DATEPART(), DATEFROMPARTS(), DATEADD(), as well as many others.",Live,no,Scott Hetch
scrum-development-jira-agile,Scrum Development with Jira & JIRA Agile,5834,2014-01-14T00:00:00Z,"Having a great idea is just the start, implementation and execution are key. Improve your chances of success by using Agile development methodology and support your efforts with the right tools: Jira and Jira Agile (formerly GreenHopper).",Live,no,Xavier Morera
